iter	RMSE
517	0.2348058556
518	0.2346283193
519	0.234167408
520	0.2334923555
521	0.2328522209
522	0.2324390132
523	0.2321575583
524	0.2316576385
525	0.2311415662
526	0.2306732309
527	0.2300686661
528	0.229859912
529	0.2297691783
530	0.2291400065
531	0.2286580193
532	0.2284568861
533	0.2276887936
534	0.2272362635
535	0.2267731371
536	0.2265275756
537	0.2262743317
538	0.2259755676
539	0.2255133842
540	0.2252800476
541	0.224891075
542	0.224484128
543	0.2242984551
544	0.2238951929
545	0.2234353993
546	0.222946682
547	0.2228600045
548	0.2226577273
549	0.2221254047
550	0.2218954397
551	0.2216539299
552	0.2212401658
553	0.2207885933
554	0.2203986602
555	0.2197695751
556	0.2193693584
557	0.219110115
558	0.2189034248
559	0.2184376297
560	0.2178627279
561	0.217696013
562	0.217261481
563	0.2168764367
564	0.216400606
565	0.2158484701
566	0.215344418
567	0.2147971916
568	0.2141860173
569	0.2137623361
570	0.2136049543
571	0.2134413536
572	0.2133611713
573	0.2129535456
574	0.2125278847
575	0.2121948244
576	0.2118476049
577	0.2113232649
578	0.2109312573
579	0.2106946179
580	0.2105087655
581	0.210331782
582	0.2099204867
583	0.2096296922
584	0.2093888992
585	0.2090253404
586	0.2088564677
587	0.2087690642
588	0.2086906025
589	0.2083426962
590	0.2079996549
591	0.2074277895
592	0.2070642154
593	0.2067805927
594	0.2063571416
595	0.2061995209
596	0.2058967432
597	0.2055663384
598	0.2053247781
599	0.2048003976
600	0.2044124536
601	0.2042600384
602	0.2039352699
603	0.2035698683
604	0.2032165385
605	0.2029561904
606	0.2026527797
607	0.202425509
608	0.2022738467
609	0.2017959009
610	0.2015873937
611	0.2013888073
612	0.2012460043
613	0.2007809886
614	0.2004455961
615	0.1999628562
616	0.199740188
617	0.1993428854
618	0.198938432
619	0.1985570672
620	0.1981543577
621	0.1978944876
622	0.1975314966
623	0.1974097345
624	0.1970232791
625	0.1966684188
626	0.196326641
627	0.1962803159
628	0.1960633789
629	0.1957555889
630	0.1955449366
631	0.1953500785
632	0.1949076933
633	0.1946256799
634	0.1943627893
635	0.1941869764
636	0.1938291658
637	0.1937274322
638	0.1934093181
639	0.1930660022
640	0.1929915058
641	0.1929189812
642	0.1924740011
643	0.1921704735
644	0.1920032904
645	0.191932028
646	0.1915964484
647	0.1915283931
648	0.1911833137
649	0.1908884501
650	0.1905077999
651	0.190093913
652	0.1900268952
653	0.1898656389
654	0.1898149954
655	0.189749908
656	0.1894328594
657	0.1892778555
658	0.1889786162
659	0.1889153143
660	0.1886062969
661	0.1883162439
662	0.1882542196
663	0.1878987593
664	0.1876292439
665	0.1872611308
666	0.186978203
667	0.1867633225
668	0.1863581638
669	0.1858910227
670	0.1855705797
671	0.1853151877
672	0.1851784243
673	0.1851347928
674	0.1850769782
675	0.1847831626
676	0.1846578941
677	0.1843590057
678	0.18401869
679	0.1839667192
680	0.1836457461
681	0.1835861524
682	0.1834091679
683	0.1833516626
684	0.1830555418
685	0.1827876928
686	0.1824950766
687	0.1821081452
688	0.1818379882
689	0.1815362355
690	0.1813138873
691	0.1809992119
692	0.1807261421
693	0.18055878
694	0.1802233348
695	0.1800182235
696	0.1799732544
697	0.1795780679
698	0.1792992426
699	0.1790641244
700	0.178823601
701	0.1785086081
702	0.1782313489
703	0.1780275878
704	0.1777423203
705	0.1777017651
706	0.1776668461
707	0.1776113872
708	0.1773510028
709	0.1770986216
710	0.1768659867
711	0.1765839042
712	0.1763462793
713	0.1760688356
714	0.1759317458
715	0.1756909251
716	0.1754334051
717	0.1751480341
718	0.1747770581
719	0.1745247427
720	0.1742899944
721	0.1742224367
722	0.1739231265
723	0.1738768958
724	0.17363438
725	0.1733777262
726	0.1733236287
727	0.1731390639
728	0.1731028119
729	0.1727513259
730	0.1727160382
731	0.1724239759
732	0.1721069301
733	0.1718285988
734	0.1715558245
735	0.1713472507
736	0.1713261875
737	0.1711794574
738	0.1709455248
739	0.1708932505
740	0.1706601142
741	0.1703752774
742	0.1701504538
743	0.1701108495
744	0.1698636585
745	0.169665583
746	0.1695937412
747	0.1693369704
748	0.169213592
749	0.1689963565
750	0.1688292009
751	0.1687886246
752	0.1685572475
753	0.1685050816
754	0.1681664323
755	0.1681430814
756	0.1677848229
757	0.1675244034
758	0.1672935524
759	0.1670627699
760	0.1668162539
761	0.1667763584
762	0.1667282718
763	0.1663586249
764	0.1661633232
765	0.1660293126
766	0.1658002393
767	0.1656585037
768	0.1654577344
769	0.1652354052
770	0.1651568824
771	0.1649208876
772	0.1646331754
773	0.1646014204
774	0.164448358
775	0.1644003419
776	0.1641727621
777	0.1639319636
778	0.1636843558
779	0.1634431544
780	0.1631702364
781	0.1631357681
782	0.1628160318
783	0.1624831243
784	0.1624490282
785	0.1622461092
786	0.1621307705
787	0.1619322288
788	0.1618912994
789	0.1616870573
790	0.1615890878
791	0.1614271377
792	0.1613155845
793	0.161133692
794	0.1608954548
795	0.1606718331
796	0.160379364
797	0.1602709628
798	0.160170529
799	0.1598967296
800	0.1596801405
801	0.1594598196
802	0.1592305427
803	0.1589342918
804	0.1587521592
805	0.158533249
806	0.1584909111
807	0.1582614529
808	0.158071589
809	0.157876749
810	0.1578514977
811	0.1577001586
812	0.1576567477
813	0.1576204267
814	0.1574276286
815	0.1573385581
816	0.1572827736
817	0.1570734172
818	0.1570018687
819	0.1568776404
820	0.1567067315
821	0.1565124401
822	0.1563379312
823	0.1561338941
824	0.1559057309
825	0.1558033336
826	0.1556609487
827	0.1555628201
828	0.1554158293
829	0.1552508145
830	0.1549987279
831	0.1549704817
832	0.1548481289
833	0.1546875
834	0.1545175059
835	0.1542898601
836	0.1541952553
837	0.1540244899
838	0.1538686427
839	0.1538380847
840	0.1537738869
841	0.1534888926
842	0.1532797685
843	0.1531657503
844	0.1529844515
845	0.1529660175
846	0.1527836672
847	0.1527264284
848	0.1526349232
849	0.152375833
850	0.1521260839
851	0.1519500251
852	0.1517140845
853	0.1514016697
854	0.1513166162
855	0.1512283847
856	0.1510281627
857	0.1508012507
858	0.1506044557
859	0.1504121309
860	0.1501718841
861	0.1500324467
862	0.1498471105
863	0.1496425088
864	0.1494496688
865	0.149261131
866	0.1490842534
867	0.1487893928
868	0.1485867265
869	0.148501678
870	0.1483531065
871	0.1483154247
872	0.1481257258
873	0.1479591253
874	0.1477008859
875	0.1475101282
876	0.1473158345
877	0.1472737697
878	0.1471303007
879	0.1469668388
880	0.1468837659
881	0.1467028039
882	0.1465952189
883	0.1465537226
884	0.1465139301
885	0.146482857
886	0.1464497821
887	0.1462721075
888	0.1462035246
889	0.1460661857
890	0.1459619488
891	0.1458523787
892	0.1456248644
893	0.1455139383
894	0.145382252
895	0.145201976
896	0.1450715115
897	0.1448843404
898	0.1447117555
899	0.1446775142
900	0.1444320176
901	0.1443840737
902	0.1441628183
903	0.1441145293
904	0.1438789493
905	0.1436483215
906	0.1435822505
907	0.1435240096
908	0.1433494381
909	0.143173919
910	0.1429979446
911	0.1428013152
912	0.142618232
913	0.1424744626
914	0.1422599912
915	0.1421073953
916	0.1419240886
917	0.141769435
918	0.1416114862
919	0.1414840051
920	0.1414218791
921	0.1413529875
922	0.141198631
923	0.141153081
924	0.1410022627
925	0.1409431279
926	0.1407399014
927	0.1405610005
928	0.1403777175
929	0.1402429337
930	0.1400602156
931	0.1400345666
932	0.1400019186
933	0.1398052351
934	0.1395378861
935	0.1395283057
936	0.1393812181
937	0.1392525712
938	0.1390807467
939	0.138934564
940	0.1386912964
941	0.1385587222
942	0.1384186163
943	0.1382321933
944	0.1381183047
945	0.138077738
946	0.1379312021
947	0.1377594574
948	0.1377323228
949	0.1376892454
950	0.1376472541
951	0.1376128413
952	0.1374470157
953	0.1373463171
954	0.137174893
955	0.1371468762
956	0.1369636375
957	0.1369222476
958	0.136787218
959	0.1366939042
960	0.1364230372
961	0.1362947477
962	0.1362544545
963	0.1361621217
964	0.1361319492
965	0.1361096901
966	0.1359841922
967	0.135831053
968	0.1357875837
969	0.1357485191
970	0.1356279523
971	0.1354312831
972	0.1352849216
973	0.1351809331
974	0.1350182823
975	0.1349732013
976	0.1348241285
977	0.1346892479
978	0.1345164875
979	0.1344878206
980	0.134453673
981	0.1342851223
982	0.134223052
983	0.1340524242
984	0.1338435147
985	0.1336847897
986	0.1335121698
987	0.1334112177
988	0.1333373816
989	0.1331558863
990	0.1330848498
991	0.1329747618
992	0.1329391746
993	0.1329105393
994	0.1328505739
995	0.1326771023
996	0.1325207801
997	0.1323609408
998	0.132183098
999	0.1321102433
